id,name,domain,fit_score,reason
"330148717260","Schimenti Construction","schimenti.com","44","MANUAL: no diversity/SBLO page found"
"330192688873","Andres Construction","andresconstruction.com","44","MANUAL: no diversity/SBLO page found"
"332334072527","IMEC Group","imecgroupllc.com","44","MANUAL: no diversity/SBLO page found"
"346178065117","C.D. Smith Construction","cdsmith.com","44","MANUAL: no diversity/SBLO page found"
"346267561661","Rodgers Builders","rodgersbuilders.com","44","MANUAL: watchdog force-kill (CLOSE_HUNG: rodgersbuilders.com ())"
"346726271675","Neumann Brothers","neumannbros.com","44","MANUAL: no diversity/SBLO page found"
"330134602486","Landry/French Construction","landryfrench.com","43","MANUAL: no diversity/SBLO page found"
"340748289777","The Osborne Company","osbornecm.com","43","MANUAL: no diversity/SBLO page found"
"343812041404","MULE ENGINEERING, INC.","mule-eng.com","43","MANUAL: no diversity/SBLO page found"
"345709464281","ASI General Contractors","asigc.com","43","MANUAL: no diversity/SBLO page found"
"326154730225","H-K CONTRACTORS, INC.","hkcontractors.com","42","MANUAL: no diversity/SBLO page found"
"329725675256","Joeris General Contractors","joeris.com","42","MANUAL: no diversity/SBLO page found"
"330187945665","Benchmark Construction","benchmarkgc.com","42","MANUAL: no diversity/SBLO page found"
"330320790245","CALVARY CONTRACTING INC","calvarycontracting.com","42","MANUAL: no diversity/SBLO page found"
"330363252467","Atlas Building Group","abgbuilds.com","42","MANUAL: no diversity/SBLO page found"
"330363267819","HARBOR SERVICES, INC","harborservicescorp.com","42","MANUAL: no diversity/SBLO page found"
"331044925153","Linbeck Group","linbeck.com","42","MANUAL: no diversity/SBLO page found"
"331830987474","Kast Construction","kastbuild.com","42","MANUAL: no diversity/SBLO page found"
"332070229734","Metropolitan Contracting Company (METRO)","metrobuilt.com","42","MANUAL: no diversity/SBLO page found"
"332341277410","Henley Construction","henleyconstruction.com","42","MANUAL: no diversity/SBLO page found"
"344209267389","Tactical Services Organization LLC","buildwithvets.com","42","MANUAL: no diversity/SBLO page found"
"348033337047","Reeder General Contractors","reedergeneral.com","42","MANUAL: watchdog force-kill (CLOSE_HUNG: reedergeneral.com ())"
"321172277986","C.E. Gleeson Constructors","gleesonconstructors.com","41","MANUAL: no diversity/SBLO page found"
"326229024477","CENTRAL SOUTHERN CONSTRUCTION CORP.","centralsouthern.us","41","MANUAL: no diversity/SBLO page found"
"329984581356","TW Constructors","twconstructors.com","41","MANUAL: no diversity/SBLO page found"
"331493112568","Forus Contracting, Inc.","foruscontracting.com","41","MANUAL: no diversity/SBLO page found"
"345687871162","MCL Construction","mclconstruction.com","41","MANUAL: no diversity/SBLO page found"
"346244127447","Spiegelglass Construction Company","spiegelglass.com","41","MANUAL: no diversity/SBLO page found"
"329324652258","Holder Construction","holderconstruction.com","40","MANUAL: no diversity/SBLO page found"
"329537393383","Skyline Construction","skylineconstruction.build","40","MANUAL: no diversity/SBLO page found"
"331842687688","Town Center Construction","towncenterconstruction.com","40","MANUAL: no diversity/SBLO page found"
"332352312038","Friend Contractors","friendcontractors.com","40","MANUAL: no diversity/SBLO page found"
"341135449826","Black Construction Corporation","blackconstructionguam.com","40","MANUAL: no diversity/SBLO page found"
"345687833309","Rochon Corporation","rochoncorp.com","40","MANUAL: no diversity/SBLO page found"
"154539178731","Gardner Builders","gardner-builders.com","39","MANUAL: no diversity/SBLO page found"
"325533127354","ASPHALT SURFACE TECHNOLOGIES CORP","astechmn.com","39","MANUAL: no diversity/SBLO page found"
"326171258584","MCKENZIE CONSTRUCTION & SITE DEVELOPMENT LLC","mckenzieconst.com","39","MANUAL: no diversity/SBLO page found"
"326627273425","Cascade Enterprises","cascade-enterprises.com","39","MANUAL: watchdog force-kill (CLOSE_HUNG: cascade-enterprises.com ())"
"326692148969","B H, INC","bhico.com","39","MANUAL: no diversity/SBLO page found"
"329322861245","Robins & Morton","robinsmorton.com","39","MANUAL: watchdog force-kill (CLOSE_HUNG: robinsmorton.com ())"
"331798692557","Build Group","buildgc.com","39","MANUAL: no diversity/SBLO page found"
"332070230715","Devcon Construction","devcon-const.com","39","MANUAL: no diversity/SBLO page found"
"332130791099","BlueScope Construction","bluescopeconstruction.com","39","MANUAL: no diversity/SBLO page found"
"332188833507","KWR Construction","kwrconst.com","39","MANUAL: no diversity/SBLO page found"
"332352312054","Herman Construction Group","hermancg.com","39","MANUAL: watchdog force-kill (CLOSE_HUNG: hermancg.com ())"
"336936949467","Falkenberg Construction Company Inc.","falkenbergconstruction.com","39","MANUAL: no diversity/SBLO page found"
"326180661956","Beniton Construction","beniton.com","38","MANUAL: no diversity/SBLO page found"
"330320790262","ANGELS GENERAL CONSTRUCTION INC","angelsgeneralconstruction.com","38","MANUAL: no diversity/SBLO page found"
"332130800324","McCullough Construction","mccullough-construction.com","38","MANUAL: no diversity/SBLO page found"
"332341270225","Timberline Construction Group","timberlinecg.com","38","MANUAL: no diversity/SBLO page found"
"341136038611","VETERANS PRE-CONSTRUCTION & VISUAL SOLUTIONS, LLC","freddiestreeter.com","38","MANUAL: no diversity/SBLO page found"
"344209986240","BLUE SPADER CONTRACTORS INC","bluespader.net","38","MANUAL: no diversity/SBLO page found"
"332010940114","Nibbi Brothers General Contractors","nibbi.com","37","MANUAL: no diversity/SBLO page found"
"332343071454","Fasone GBC","fasonegbc.com","37","MANUAL: no diversity/SBLO page found"
